HOST_ID,HOST_ACCEPTANCE_RATE,HOST_LISTINGS_COUNT,HOST_TOTAL_LISTINGS_COUNT,LATITUDE,LONGITUDE,ACCOMMODATES,BATHROOMS,BEDROOMS,BEDS,SQUARE_FEET,GUESTS_INCLUDED,MINIMUM_NIGHTS,MAXIMUM_NIGHTS,MINIMUM_MINIMUM_NIGHTS,MAXIMUM_MINIMUM_NIGHTS,MINIMUM_MAXIMUM_NIGHTS,MAXIMUM_MAXIMUM_NIGHTS,MINIMUM_NIGHTS_AVG_NTM,MAXIMUM_NIGHTS_AVG_NTM,AVAILABILITY_30,AVAILABILITY_60,AVAILABILITY_90,AVAILABILITY_365,NUMBER_OF_REVIEWS,NUMBER_OF_REVIEWS_LTM,REVIEW_SCORES_RATING,REVIEW_SCORES_ACCURACY,REVIEW_SCORES_CLEANLINESS,REVIEW_SCORES_CHECKIN,REVIEW_SCORES_COMMUNICATION,REVIEW_SCORES_LOCATION,REVIEW_SCORES_VALUE,REVIEWS_PER_MONTH,HOST_RESPONSE_TIME,HOST_RESPONSE_RATE,HOST_IS_SUPERHOST,HOST_HAS_PROFILE_PIC,HOST_IDENTITY_VERIFIED,PROPERTY_TYPE,ROOM_TYPE,BED_TYPE,AMENITIES,PRICE,WEEKLY_PRICE,MONTHLY_PRICE,SECURITY_DEPOSIT,CLEANING_FEE,EXTRA_PEOPLE,FIRST_REVIEW,LAST_REVIEW,INSTANT_BOOKABLE,IS_BUSINESS_TRAVEL_READY,CANCELLATION_POLICY
8229,,6.0,6.0,42.32981,-71.09559,2,1.0,1.0,1.0,225.0,1,3,730,3,3,730,730,3.0,730.0,27,27,27,27,106,26,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0.81,within an hour,100%,f,t,t,Guest suite,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed"",""Long term stays allowed""}",$145.00,$980.00,"$3,000.00",$0.00,$60.00,$0.00,2009-03-21,2019-10-31,t,f,strict_14_with_grace_period
8229,,6.0,6.0,42.32994,-71.09351,4,1.0,1.0,2.0,,2,3,730,3,3,730,730,3.0,730.0,18,18,18,18,115,30,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0.91,within an hour,100%,f,t,t,Condominium,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",$169.00,,,$0.00,$80.00,$8.00,2009-08-06,2019-11-02,t,f,strict_14_with_grace_period
26988,,12.0,12.0,42.35919,-71.06265,2,1.0,1.0,1.0,,1,32,365,32,32,365,365,32.0,365.0,30,42,42,186,24,3,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0.37,within a few hours,100%,t,t,f,Apartment,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Patio or balcony"",""Long term stays allowed"",Other}",$99.00,"$1,200.00","$2,900.00","$1,000.00",$250.00,$0.00,2014-08-12,2019-09-30,f,f,strict_14_with_grace_period
26988,,12.0,12.0,42.3584,-71.06185,2,1.0,1.0,1.0,,1,91,365,91,91,365,365,91.0,365.0,30,38,38,240,30,3,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.24,within a few hours,100%,t,t,f,Apartment,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Long term stays allowed"",Other}",$150.00,"$1,200.00","$3,000.00","$1,000.00",$250.00,$0.00,2009-09-21,2019-09-14,f,f,strict_14_with_grace_period
38997,,11.0,11.0,42.34973,-71.08792,3,1.0,0.0,1.0,,1,90,1125,90,90,1125,1125,90.0,1125.0,29,59,89,336,9,2,87.0,9.0,9.0,9.0,8.0,10.0,9.0,0.19,within an hour,100%,f,t,f,Apartment,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Ethernet connection"",Microwave,""Coffee maker"",""Dishes and silverware"",""Long term stays allowed"",Other}",$84.00,,"$2,250.00",$500.00,$150.00,$0.00,2016-01-09,2019-07-22,f,f,strict_14_with_grace_period
38997,,11.0,11.0,42.34961,-71.08904,3,1.0,0.0,1.0,,1,33,1125,33,33,1125,1125,33.0,1125.0,0,0,0,0,78,28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.81,within an hour,100%,f,t,f,Apartment,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Other}",$179.00,$800.00,"$2,250.00",$500.00,$100.00,$0.00,2016-05-23,2019-11-30,f,f,strict_14_with_grace_period
38997,,11.0,11.0,42.36352,-71.05075,2,1.0,0.0,1.0,,1,91,1125,91,91,1125,1125,91.0,1125.0,29,59,89,364,2,0,,,,,,,,0.05,within an hour,100%,f,t,f,Condominium,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics""}",$125.00,,,$500.00,$145.00,$0.00,2016-05-23,2016-05-23,f,f,strict_14_with_grace_period
71783,,25.0,25.0,42.32329,-71.0621,7,1.0,3.0,3.0,1200.0,3,32,90,32,32,1125,1125,32.0,1125.0,0,0,0,0,52,9,86.0,9.0,9.0,9.0,9.0,9.0,9.0,0.45,within an hour,94%,f,t,t,Apartment,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Pack ’n Play/travel crib"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",$150.00,"$1,375.00","$3,500.00",$100.00,$175.00,$13.00,2010-05-12,2019-10-05,t,f,strict_14_with_grace_period
85770,,4.0,4.0,42.34496,-71.07486,1,,1.0,1.0,,1,2,90,2,2,90,90,2.0,90.0,0,0,0,0,315,22,89.0,10.0,9.0,10.0,10.0,10.0,9.0,3.1,within an hour,100%,t,t,t,House,Private room,Real Bed,"{Internet,Wifi,""Air conditioning"",Heating,""Smoke detector"",Essentials,""Hot water""}",$148.00,,,$0.00,$21.00,$15.00,2011-08-02,2019-11-12,t,f,moderate
97821,,1.0,1.0,42.36366,-71.05023,5,2.0,2.0,3.0,0.0,2,2,30,1,2,30,30,1.4,30.0,0,0,0,198,103,21,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.93,within a day,100%,f,t,f,Boat,Entire home/apt,Real Bed,"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",Breakfast,""Smoke detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,Refrigerator,Stove,""Patio or balcony"",""Host greets you"",Waterfront}",$290.00,"$1,700.00",,$0.00,$0.00,$65.00,2010-10-16,2019-10-03,f,f,strict_14_with_grace_period
