HOST_ID,HOST_ACCEPTANCE_RATE,HOST_LISTINGS_COUNT,HOST_TOTAL_LISTINGS_COUNT,LATITUDE,LONGITUDE,ACCOMMODATES,BATHROOMS,BEDROOMS,BEDS,SQUARE_FEET,GUESTS_INCLUDED,MINIMUM_NIGHTS,MAXIMUM_NIGHTS,MINIMUM_MINIMUM_NIGHTS,MAXIMUM_MINIMUM_NIGHTS,MINIMUM_MAXIMUM_NIGHTS,MAXIMUM_MAXIMUM_NIGHTS,MINIMUM_NIGHTS_AVG_NTM,MAXIMUM_NIGHTS_AVG_NTM,AVAILABILITY_30,AVAILABILITY_60,AVAILABILITY_90,AVAILABILITY_365,NUMBER_OF_REVIEWS,NUMBER_OF_REVIEWS_LTM,REVIEW_SCORES_RATING,REVIEW_SCORES_ACCURACY,REVIEW_SCORES_CLEANLINESS,REVIEW_SCORES_CHECKIN,REVIEW_SCORES_COMMUNICATION,REVIEW_SCORES_LOCATION,REVIEW_SCORES_VALUE,REVIEWS_PER_MONTH,HOST_RESPONSE_TIME,HOST_RESPONSE_RATE,HOST_IS_SUPERHOST,HOST_HAS_PROFILE_PIC,HOST_IDENTITY_VERIFIED,PROPERTY_TYPE,ROOM_TYPE,BED_TYPE,AMENITIES,PRICE,WEEKLY_PRICE,MONTHLY_PRICE,SECURITY_DEPOSIT,CLEANING_FEE,EXTRA_PEOPLE,FIRST_REVIEW,LAST_REVIEW,INSTANT_BOOKABLE,IS_BUSINESS_TRAVEL_READY,CANCELLATION_POLICY
306681,,3.0,3.0,42.38329,-71.13617,5,1.0,2,2.0,,2,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,190,33,4,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.26,within a few hours,100%,f,t,t,Apartment,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""High chair"",""Children’s books and toys"",""Babysitter recommendations"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",$200.00,"$1,300.00","$3,900.00",$500.00,$50.00,$20.00,2009-07-23,2019-06-09,f,f,strict_14_with_grace_period
40965,,3.0,3.0,42.39469,-71.13223,3,1.0,1,1.0,,1,2,14,2,2,14,14,2.0,14.0,29,59,89,364,144,3,95.0,9.0,9.0,10.0,10.0,10.0,10.0,1.22,within an hour,100%,t,t,t,House,Private room,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Refrigerator}",$105.00,$600.00,"$2,400.00",$0.00,$0.00,$25.00,2010-03-30,2019-09-01,f,f,strict_14_with_grace_period
40965,,3.0,3.0,42.39454,-71.13431,1,1.0,1,1.0,,1,3,9,3,3,9,9,3.0,9.0,28,58,88,363,33,1,98.0,9.0,10.0,10.0,10.0,10.0,10.0,0.27,within an hour,100%,t,t,t,Condominium,Private room,Futon,"{""Cable TV"",Internet,Wifi,""Air conditioning"",""Pets live on this property"",Dog(s),""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",""Extra pillows and blankets"",""Coffee maker""}",$75.00,$450.00,"$1,500.00",$0.00,$0.00,$25.00,2009-11-14,2019-04-14,f,f,strict_14_with_grace_period
74249,,3.0,3.0,42.36276,-71.09765,1,1.0,1,1.0,200.0,1,3,730,3,3,730,730,3.0,730.0,30,60,90,351,6,0,80.0,8.0,9.0,8.0,10.0,10.0,8.0,0.05,within an hour,100%,t,t,t,Bed and breakfast,Private room,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""Wide entrance"",""Wide entryway"",""Paid parking on premises""}",$185.00,$750.00,"$2,125.00",$0.00,$45.00,$20.00,2010-03-06,2018-08-04,f,f,strict_14_with_grace_period
84280,,1.0,1.0,42.3867,-71.12387,2,2.5,1,1.0,,1,2,60,2,2,60,60,2.0,60.0,25,52,82,349,82,23,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.89,within an hour,100%,t,t,f,House,Private room,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free parking on premises"",Breakfast,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Hot water"",""Luggage dropoff allowed"",Other}",$120.00,$700.00,,,,$30.00,2012-05-14,2019-11-08,f,f,moderate
96414,,1.0,1.0,42.37606,-71.14041,1,1.0,1,2.0,200.0,1,2,14,2,2,14,14,2.0,14.0,30,57,87,346,177,16,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.53,within a few hours,89%,t,t,f,House,Private room,Real Bed,"{Wifi,""Air conditioning"",Breakfast,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed""}",$110.00,$700.00,,$0.00,$0.00,$20.00,2010-05-23,2019-11-20,f,f,flexible
74249,,3.0,3.0,42.36381,-71.09754,2,1.0,1,1.0,,2,3,730,3,3,730,730,3.0,730.0,30,60,90,361,11,2,88.0,8.0,9.0,8.0,9.0,9.0,8.0,0.1,within an hour,100%,t,t,t,Bed and breakfast,Private room,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}",$225.00,$875.00,"$2,375.00",$0.00,$45.00,$20.00,2010-07-22,2019-09-15,f,f,strict_14_with_grace_period
430015,,2.0,2.0,42.37057,-71.10029,5,1.0,2,2.0,,4,3,365,3,3,365,365,3.0,365.0,17,40,70,322,346,49,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3.32,within a few hours,100%,t,t,t,Apartment,Entire home/apt,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",Bathtub,""High chair"",""Pack ’n Play/travel crib"",""Hot water""}",$200.00,,,,$50.00,$25.00,2011-05-05,2019-11-11,f,f,strict_14_with_grace_period
74249,,3.0,3.0,42.3627,-71.09645,3,1.0,1,1.0,,2,4,365,4,4,365,365,4.0,365.0,30,60,90,365,15,3,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.15,within an hour,100%,t,t,t,Bed and breakfast,Private room,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}",$235.00,"$1,050.00","$2,575.00",$0.00,$45.00,$20.00,2011-09-05,2019-08-24,f,f,strict_14_with_grace_period
306681,,3.0,3.0,42.38377,-71.13543,4,1.0,1,1.0,,2,2,730,2,2,730,730,2.0,730.0,0,0,0,265,18,4,93.0,9.0,10.0,9.0,10.0,10.0,9.0,0.17,within a few hours,100%,f,t,t,Apartment,Entire home/apt,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}",$150.00,"$1,000.00","$3,400.00",$500.00,$50.00,$25.00,2011-05-24,2019-07-22,f,f,strict_14_with_grace_period
